,genre,count
807,Dutch,1
808,"Balsan, Consuelo Vanderbilt",1
809,Cologne (Germany),1
810,Quilting,1
811,Fear,1
812,Insects,1
813,Jupiter (Planet),1
814,Donner Party,1
815,Chess players,1
816,Distributed operating systems (Computers),1
817,Sex customs,1
818,African American women poets,1
819,Bronze age,1
820,Child authors,1
821,Climate and civilization,1
822,Nicholas,1
823,Carnival,1
824,Assyria,1
825,Cavalry pioneer troops,1
826,Books on CD for children,1
827,Arabs,1
828,Italian Americans,1
829,Canning and preserving,1
830,Europeans,1
831,COOKING,1
832,Folk music,1
833,Experiments,1
834,Aircraft accidents,1
835,Jacobites,1
836,Mountaineering expeditions,1
837,Blair Witch Project (Motion picture),1
838,Aikido,1
839,Dragons in literature,1
840,Lancashire (England),1
841,"Dunkirk, Battle of, Dunkerque, France, 1940",1
842,Belfast (Northern Ireland),1
843,"Sculpture, Modern",1
844,Dictators,1
845,Occupations,1
846,Forensic photography,1
847,Adventure,1
848,Incas,1
849,"Iraq War, 2003-",1
850,Franse fiksie,1
851,"Food, Junk",1
852,Operas,1
853,Behavior disorders in children,1
854,Child musicians,1
855,Raccoon,1
856,Gymnastics,1
857,Architects,1
858,College students,1
859,Second Advent,1
860,"Cato, Quintus Licinius (Fictitious character)",1
861,African American Communists,1
862,Maryland,1
863,Creative thinking,1
864,Computer programs,1
865,Business writing,1
866,Microsoft .NET Framework,1
867,Communication and culture,1
868,Queens,1
869,Hospital care,1
870,Gangs,1
871,Latin America,1
872,Slave trade,1
873,Christian martyrs,1
874,Cyclones,1
875,Criminal methods,1
876,Body temperature,1
877,Israeli fiction,1
878,Business enterprises,1
879,Teaching,1
880,"Everest, George",1
881,Desert Fathers,1
882,Firearms industry and trade,1
883,Auschwitz (Concentration camp),1
884,Meat,1
885,Computer software,1
886,"Adventure stories, American",1
887,Circle,1
888,"Southwest, New",1
889,Spiritual healing,1
890,Dead,1
891,Buddhist pilgrims and pilgrimages,1
892,Mediterranean Region,1
893,Multilevel marketing,1
894,Résumés (Employment),1
895,Bosnia and Hercegovina,1
896,Apostrophe,1
897,Outer space,1
898,Hand-to-hand fighting,1
899,Mars (Planet),1
900,Dungeons and Dragons (Game),1
901,"Nursery rhymes, Danish.",1
902,"Science fiction, English",1
903,Commonplace-books.,1
904,"La Coruna, Battle of, La Coruna, Spain, 1809",1
905,Latin American fiction,1
906,"""Caractères d'imprimerie - Pays-Bas - Histoire""",1
907,Extinct languages,1
908,Bakeries,1
909,Boredom,1
910,Arnheim,1
911,Bahrain,1
912,Algonquian Indians,1
913,Citation of legal authorities,1
914,"Corbett, Hugh (Fictitious character)",1
915,Fighter pilots,1
916,Performing arts,1
917,Confucianism,1
918,"Yoga, Rāja",1
919,Easter stories,1
920,Grocery trade,1
921,Electoral college,1
922,Coming out (Sexual orientation),1
923,Cooking (Frozen foods),1
924,"Bir Hakeim, Battle of, 1942",1
925,Computer science,1
926,"Berlin Wall, Berlin, Germany, 1961-1989",1
927,"Automobiles, Racing",1
928,Bicycle touring,1
929,Witches,1
930,Legislators,1
931,Horsemanship.,1
932,Contemplation,1
933,Provence (France),1
934,Communication,1
935,Fantasy in art,1
936,Television,1
937,Aged men,1
938,Animal experimentation,1
939,Africans,1
940,Self-esteem,1
941,Advertising agencies,1
942,Healing,1
943,Poland,1
944,Saint (Fictitious character),1
945,Memory,1
946,Attitude change,1
947,Submarines (Ships),1
948,Colonists,1
949,Knitting,1
950,Mythology,1
951,Admirals,1
952,South Africa,1
953,End of the world.,1
954,Romanies.,1
955,Ho Chi Minh City (Vietnam),1
956,Buddhist art and symbolism,1
957,Erotic literature,1
958,Problem solving,1
959,"Beck, Martin (Fictitious character)",1
960,Governesses in literature,1
961,Computer interfaces,1
962,Aristophanes,1
963,Bankers,1
964,"Authors, German",1
965,"Crystallization, Water of",1
966,Mothers,1
967,"Civilization, Islamic",1
968,"Civilization, Ancient",1
969,Athens (Greece),1
970,Folk medicine,1
971,Deserts,1
972,Novela francesa,1
973,Cairo (Egypt),1
974,Alfie (Fictitious character : Hughes),1
975,Irritable colon,1
976,Down syndrome,1
977,Mules,1
978,Collie,1
979,Dieu - Amour,1
980,Astral projection,1
981,Hoodlums,1
982,Bible and evolution,1
983,"Napoleonic Wars, 1800-1815",1
984,"Epic poetry, Greek",1
985,Beavers,1
986,Cost,1
987,Success,1
988,African American boys,1
989,Akenfield (England),1
990,Chinese fiction,1
991,Balkan Peninsula,1
992,"Fantasy literature, English",1
993,Philosophers,1
994,"Economic assistance, Domestic",1
995,Despair,1
996,"Science fiction, Belgian (French)",1
997,Plot-your-own stories.,1
998,Turning (Lathe work),1
999,Physical fitness,1
1000,"Creation (Literary, artistic, etc.)",1
1001,Political fiction,1
1002,Aberystwyth (Wales),1
1003,Batman (Comic strip),1
1004,Cookies,1
1005,African American comedians,1
1006,Assertiveness (Psychology),1
1007,Cheyenne Indians,1
1008,"Bond, James (Fictitious character)",1
1009,"Medicine, Popular.",1
1010,COMICS & GRAPHIC NOVELS.,1
1011,Conflict of generations,1
1012,Enlightenment (Buddhism),1
1013,"Body, Human",1
1014,Spy stories,1
1015,Glass painting and staining,1
1016,Literature and science,1
1017,Child care,1
1018,College department heads,1
1019,"""Autochtones - Canada - Relations avec l'État""",1
1020,Apologetics,1
1021,Andes,1
1022,Nurses,1
1023,Hotels,1
1024,Amusement parks,1
1025,Drowning,1
1026,"Authors, Italian",1
1027,"Photography, Erotic",1
1028,Courtship,1
1029,"Erotic stories, Australian",1
1030,"Actors and actresses, American",1
1031,Angola,1
1032,Coroners,1
1033,Czech Americans,1
1034,Art patronage,1
1035,Performance.,1
1036,Divorced people,1
1037,Sales personnel,1
1038,"Theology, Doctrinal",1
1039,Anger,1
1040,Milan (Italy),1
1041,"Love stories, American",1
1042,Argonauts (Greek mythology),1
1043,Home-based businesses,1
1044,Electronic data processing,1
1045,Bookstores,1
1046,"Israel-Arab War, 1973.",1
1047,"Adventure stories, English",1
1048,"Christian literature, Early",1
1049,Scientists,1
1050,Children and war,1
1051,Playboy,1
1052,Language acquisition,1
1053,Aristocracy (Social class),1
1054,Hindu sects,1
1055,"Historical drama, English",1
1056,Book jackets,1
1057,Self-realization,1
1058,"""Father's Day - Children Fiction""",1
1059,Diaries,1
1060,Cabala,1
1061,Contes de fées,1
1062,Anthony (Fictitious character : Alexander),1
1063,Anti-apartheid movements,1
1064,Occultism.,1
1065,Operation Mincemeat,1
1066,Health,1
1067,Depression in adolescence,1
1068,Albemarle Sound (N.C.),1
1069,Architect-designed houses,1
1070,Koi,1
1071,"Short stories, American",1
1072,Artisans,1
1073,Caribbean Area,1
1074,CD-ROMs,1
1075,"Africa, Sub-Saharan",1
1076,"Liturgies, Early Christian",1
1077,Civil rights,1
1078,Theology,1
1079,Portuguese language,1
1080,Motion picture producers and directors,1
1081,Forests and forestry,1
1082,Creationism,1
1083,Human ecology,1
1084,African American entertainers,1
1085,Basket making.,1
1086,Canadian Rockies (B.C. and Alta.),1
1087,Flowers in art.,1
1088,High school teachers,1
1089,Culture,1
1090,Baader Meinhoff Complex (Motion picture),1
1091,Bukhoro,1
1092,Electricity,1
1093,Dolphins,1
1094,Human behavior,1
1095,Bureaucracy,1
1096,Crossword puzzles,1
1097,Cinderella (Legendary character),1
1098,Almanacs,1
1099,Anansi (Legendary character),1
1100,Evolution (Biology),1
1101,Slavery,1
1102,Programmed instruction,1
1103,Birdsongs,1
1104,"Chee, Jim (Fictional character)",1
1105,Black holes (Astronomy),1
1106,Men,1
1107,Literary recreations.,1
1108,Usonian houses,1
1109,Antiques,1
1110,"Folk songs, English",1
1111,Clans,1
1112,Ants,1
1113,Cat owners,1
1114,Algorithms,1
1115,Creation,1
1116,Ethnology,1
1117,High interest-low vocabulary books,1
1118,Civil war,1
1119,Change,1
1120,Identity (Psychology),1
1121,Big books,1
1122,Suvarrow Islands,1
1123,"History, Modern",1
1124,"11030 - fiction in English - p1030 - Greene, Graham - 60030 - biographies",1
1125,"Women authors, Irish",1
1126,Asia,1
1127,ACT Assessment,1
1128,Parasols,1
1129,"Epic Poetry, Greek",1
1130,Gobi Desert (Mongolia and China),1
1131,Comanche Indians,1
1132,Feng shui,1
1133,11030 - fiction in English - p1030 - New Zealand writers - 1907- - 60030 - texts,1
1134,"BP Deepwater Horizon Explosion and Oil Spill, 2010",1
1135,Faith,1
1136,Fantasy football (Game),1
1137,Burma,1
1138,Gynecologists,1
1139,Atheletes,1
1140,Mongolia,1
1141,Sea monsters,1
1142,Bodybuilders,1
1143,Nonsense verses,1
1144,New South Wales,1
1145,Charity-schools,1
1146,Spice trade,1
1147,Genetic engineering,1
1148,Cartoonists,1
1149,Cork (Ireland : Co,1
1150,African-American soldiers,1
1151,Shepherds,1
1152,Mr. Men (Fictitious characters),1
1153,Criminals,1
1154,"EARP, WYATT",1
1155,Arson,1
